adminID;DB_operator_code;DB_operator_name;DB_subnet_name;custom_short_name;custom_long_name;comment
8;S;S-Bahn Berlin;;;;
19;EST;EUROSTAR;;;;
51;PKP;PKP Intercity;;;;
53;DPN;Nahreisezug;;;;
54;CD;Ceske Drahy;;;;
55;MAV;MAV;Ungarische Staatseisenbahnen;;;
56;ZSS;ZSSK;;;;
71;REN;RENFE;;;;
74;SJ;SJ;;;;
78;HZ;HZPP;;;;
79;SZ;Slovenske zeleznice;;;;
80;DB;DB Fernverkehr AG;;;;
81;ÖBB;Österreichische Bundesbahnen;Oesterreichische Bundesbahnen;;;
82;CFL;CFL;;;;
83;TI;Trenitalia;;;;
84;NS;Nederlandse Spoorwegen;;;;
85;SBB;SBB;Schweizerische Bundesbahnen;;;
86;DSB;Dänische Staatsbahnen;;;;
87;SCF;SNCF;Französische Eisenbahn;;;
88;SCB;SNCB;Belgische Eisenbahnen;;;
3018;THA;THALYS;Eurostar (ex. Thalys);;;
3189;ARV;ARRIVA vlaky;;;;
3230;VBG;vogtlandbahn - Die Länderbahn GmbH DLB;;;;
3236;WB;WESTbahn;WESTbahn;;;
3246;IC;RegioJet;;;;
3270;TN;TRENORD;;;;
3288;GW;GW Train Regio;;;;
3332;KZC;KZC Doprava s.r.o.;;;;
3393;TGV;SNCF Voyages Deutschland;;;;
3613;StB;Steiermarkbahn und Bus GmbH;;;;
80001;S;S-Bahn Berlin;;;;
550043;GyS;GySEV;;;;
743051;ST;Snälltåget;;;;
800151;DB;DB Regio AG Nordost;;;;
800153;DB;DB Regio AG Nordost;;;;
800154;DB;DB Regio AG Nordost;;;;
800155;DB;DB Regio AG Nordost;;;;
800156;DB;DB Regio AG Nordost;;;;
800157;DB;DB Regio AG Nordost;;;;
800158;DB;DB Regio AG Nordost;;;;
800159;DB;DB Regio AG Nordost;;;;
800160;DB;DB Regio AG Nordost;;;;
800161;DB;DB Regio AG Nordost;;;;
800163;DB;DB Regio AG Nordost;;;;
800165;DB;DB Regio AG Nordost;;;;
800166;DB;DB Regio AG Nordost;;;;
800201;DB;DB Regio AG Nord;;;;
800271;DB;DB Regio AG Nord;;;;
800279;DB;DB Regio AG Nord;;;;
800292;DB;DB Regio AG Nord;;;;
800293;DB;DB Regio AG Nord;;;;
800295;DB;DB Regio AG Nord;;;;
800310;DB;DB Regio AG NRW;;;;
800318;DB;DB Arriva;DB Arriva;;;
800333;DB;DB Regio AG NRW;DB Regio NW, RB 33;;;
800337;DB;DB Regio AG NRW;DB Regio NW, S-Bahn Rhein-Ruhr;;;S1,
800338;DB;DB Regio AG NRW;DB Regio NW, KR Rhein-Sieg-Express;;;
800348;DB;DB Regio AG NRW;DB Regio NW, WF Sauerlandnetz (Los 2);;;RB53,RB43,RB52,RE57
800349;DB;DB Regio AG NRW;DB Regio NW, EN Haardachse;;;RE2,
800351;DB;DB Regio AG NRW;DB Regio NW, WR Westl. Münsterland (RB51);;;
800352;DB;DB Regio AG NRW;DB Regio NW, KR Köln (Dieselnetz);;;vareo-Dieselnetz
800354;DB;DB Regio AG NRW;DB Regio NW, RR (S5/S8);;;
800363;DB;DB Regio AG NRW;DB Regio NW, WR Westl. Münsterland (RB63/RB64);;;
800413;DB;DB Regio AG Südost;;;;
800417;DB;DB Regio AG Südost;;;;
800430;EGB;DB RegioNetz Verkehrs GmbH Erzgebirgsbahn;;;;
800445;DB;DB Regio AG Südost;;;;
800456;DB;DB Regio AG Südost;;;;
800469;DB;DB Regio AG Südost;;;;
800478;DB;DB Regio AG Südost;;;;
800486;DB;DB Regio AG Südost;;;;
800487;DB;DB Regio AG Südost;;;;
800489;DB;DB Regio AG Südost;;;;
800520;DB;DB Regio AG Mitte;DB Regio MI, Übergangsvertrag Pfalz;;;
800523;KHB;DB RegioNetz Verkehrs GmbH Kurhessenbahn;;;;
800528;S;DB Regio AG S-Bahn Rhein-Main;DB Regio, S-Bahn Rhein-Main;;;
800535;DB;DB Regio AG Mitte;;;;
800553;DB;DB Regio AG Mitte;DB Regio MI, Taunusstrecke;;;
800571;DB;DB Regio AG Mitte;DB Regio MI, Karlsruher Netz 7b Los 1;;;
800572;DB;DB Regio AG Mitte;DB Regio MI, Karlsruher Netz 7b Los 2;;;
800574;DB;DB Regio AG Mitte;DB Regio MI, Main-Neckar/Ried;;;
800603;WFB;DB RegioNetz Verkehrs GmbH Westfrankenbahn;DB Regio RNV, WFB (Netz 11);;;
800622;DB;DB Regio AG Baden-Württemberg;DB Regio BW, Ulm, Netz16a (Aulendorfer Kreuz);;;
800631;DB;DB Regio AG Baden-Württemberg;DB Regio BW, Freiburg, Netz 16c (Hochrhein);;;
800632;DB;DB Regio AG Baden-Württemberg;;;;
800640;SWX;DB Regio AG Mitte SÜWEX;DB Regio MI, SÜWEX;;;auch IC 5107
800643;S;DB Regio AG S-Bahn Stuttgart;DB Regio, S-Bahn Stuttgart;;;
800647;DB;DB Regio AG Baden-Württemberg;DB Regio BW, Freiburg, Netz 13 (Schwarzwaldbahn);;;
800654;DB;DB Regio AG Baden-Württemberg;DB Regio BW, Netz 54 (Regionalbahn Bodensee-Oberschwaben);;;
800659;DB;DB Regio AG Baden-Württemberg;DB Regio BW, Ulm, Netz 59 (Wendlingen-Ulm);;;
800693;DB;DB Regio AG Baden-Württemberg;DB Regio BW, Ulm, Netz 5 (Donau-Ostalb);;;
800694;DB;DB Regio AG Baden-Württemberg;DB Regio BW, Ulm, Netz 2 (Südbahn);;;
800714;DB;DB Regio AG Bayern;DB Regio BY, Würzburg (E-Netz);;;
800720;DB;DB Regio AG Bayern;DB Regio BY, Nürnberg (D-Netz);;;
800721;DB;DB Regio AG Bayern;DB Regio BY, S-Bahn Nürnberg;;;
800725;S;DB Regio AG S-Bahn München;DB Regio, S-Bahn München (M7401);;;S1, S2, S3, S4, S5, S6, S7, S8, S20
800734;DB;DB Regio AG Bayern;;;;
800742;DB;DB Regio AG Bayern;;;;
800746;DB;DB Regio AG Bayern;;;;
800755;DB;DB Regio AG Bayern;DB Regio BY, Franken (E-Netz);;;
800759;DB;DB Regio AG Bayern;DB Regio BY, Nordbayern (NeiTech);;;
800765;DB;DB Regio AG Bayern;DB Regio BY, München-Nürnberg (ABS/NBS);;;RE1, RB16, RE16
800767;DB;DB Regio AG Bayern;DB Regio BY, München-Passau;;;RE3, RE22, RB33
800772;DB;DB Regio AG Bayern;DB Regio BY, Main-Spessart-Express;;;
800785;DB;DB Regio AG Bayern;;;;
800790;DB;DB Regio AG Bayern;DB Regio BY, Werdenfels;;;RB6, RB60, RB65, RB66,
801512;DB;DB Regio AG Mitte;DB Regio MI, MoselLux;;;RB81,
801513;DB;DB Regio AG Mitte;;;;
801518;DB;DB Regio AG Mitte;DB Regio MI, S-Bahn RheinNeckar Los 2;;;
801526;DB;DB Regio AG Mitte;DB Regio MI, Lahn-Eifel-Bahn;;;RE25,RB23,RB38
801539;DB;DB Regio AG Mitte;DB Regio MI, S-Bahn RheinNeckar Los 1;;;
801566;DB;DB Regio AG Mitte;;;;
801591;DB;DB Regio AG Mitte;;;;
801599;DB;DB Regio AG Mitte;;;;
810003;mbs;Montafoner Bahn;;;;
810005;ZB;Zillertalbahn;;;;
810007;SLB;Salzburger Lokalbahnen;;;;
810008;STH;Stern & Hafferl Verkehrs-GmbH;;;;
810009;WiL;Wiener Linien;;;;
810011;R;Schneebergbahn;;;;
810017;NÖV;NÖ Verkehrsorganisations-ges.m.b.H.;;;;
810021;NÖV;NÖ Verkehrsorganisations-ges.m.b.H.;;;;
810023;NÖV;NÖ Verkehrsorganisations-ges.m.b.H.;;;;
810024;P;Waldviertler Schmalspurbahn;;;;
810025;SLB;Salzburger Lokalbahnen;;;;
810028;GyS;GySEV;;;;
810031;STR;Linz Linien AG (Straßenbahn Stadt Linz);;;;
810043;ÖPO;ÖBB-Postbus;;;;
840037;Rnt;R-net;;;;
840052;Brg;Breng;;;;
840054;Vll;Valleilijn;;;;
840055;BN;Blauwnet;;;;
840100;NS;Nederlandse Spoorwegen;;;;
840500;ARR;Arriva Nederland;;;;
850022;AB;Appenzeller Bahnen;;;;
850023;TPC;Transports Publics du Chablais;;;;
850029;MBC;Transports de la région Morges-Bière-Cossonay;;;;
850031;BDW;BDWM Transport;;;;
850032;BLM;Lauterbrunnen-Mürren;;;;
850033;BLS;BLS AG;;;;
850035;BOB;Berner Oberland-Bahnen;;;;
850038;ASM;Aare Seeland mobil;;;;
850042;MVR;Montreux-Vevey-Riviera;;;;
850043;CJ;Chemins de fer du Jura;;;;
850044;TRN;Transports Publics Neuchâtelois SA;;;;
850046;FB;Forchbahn;;;;
850047;FLP;Lugano-Ponte Tresa;;;;
850048;MGB;Matterhorn Gotthard Bahn (fo);;;;
850049;FAR;Ferrovie Autolinee Regionali Ticinesi;;;;
850051;FW;Frauenfeld-Wil;;;;
850053;TPF;Transports publics fribourgeois;;;;
850055;LEB;Lausanne-Echallens-Bercher;;;;
850056;ASM;Aare Seeland mobil;;;;
850061;TMR;Transports de Martigny et Régions (mc);;;;
850064;MOB;Montreux-Oberland Bernois;;;;
850065;THU;THURBO;;;;
850066;NSt;Nyon-St-Cergue-Morez;;;;
850072;RhB;Rhätische Bahn;;;;
850073;TRN;Transports Publics Neuchâtelois SA;;;;
850074;RA;Regionalps;;;;
850078;SZU;Sihltal-Zürich-Uetliberg-Bahn;;;;
850081;ASM;Aare Seeland mobil;;;;
850082;SOB;Schweizerische Südostbahn (sob);;;;
850086;ZB;Zentralbahn;;;;
